List Size,Run Time,Nodes Visited,Brute Force Score,Our Score
8,Run Time: 0.0044982433,"['D', 'E', 'C', 20, 'H', 'F', 'B', 'A']",67,-16
8,Run Time: 0.0043599606,"['D', 1, 'D', 1, 'D', 8, 'B', 'A']",67,-4
8,Run Time: 0.0000000000,"['D', 'E', 14, 8, 'D', 8, 2, 'A']",67,-94
8,Run Time: 0.0043203831,"['D', 'E', 'C', 'E', 14, 'F', 'B', 'A']",67,10
8,Run Time: 0.0000000000,"['D', 'E', 'C', 20, 14, 'F', 'B', 'A']",67,-68
8,Run Time: 0.0000000000,"['D', 'E', 'C', 'E', 14, 'F', 'B', 'A']",67,-43
8,Run Time: 0.0000000000,"['D', 'E', 'C', 'E', 'D', 8, 'B', 'A']",67,-18
9,Run Time: 0.0001451969,"[2, 'A', 'B', 'A', 2, 8, 14, 'E', 'C']",71,-24
9,Run Time: 0.0000000000,"['D', 'E', 'C', 'E', 'D', 1, 2, 'A', 'B']",71,0
9,Run Time: 0.0000000000,"['D', 8, 'D', 1, 'D', 1, 2, 'A', 'B']",71,-64
10,Run Time: 0.0050003529,"['D', 'E', 'C', 20, 14, 'E', 14, 'F', 'B', 'A']",75,10
10,Run Time: 0.0070941448,"['D', 'E', 'C', 'G', 'C', 'E', 'D', 8, 'B', 'A']",75,-102
10,Run Time: 0.0054986477,"['D', 'E', 'C', 'G', 'C', 20, 14, 'F', 'B', 'A']",75,-52
10,Run Time: 0.0051143169,"['D', 'E', 'D', 'E', 'C', 20, 'H', 'F', 'B', 'A']",75,-32
10,Run Time: 0.0053825378,"['D', 'E', 'C', 'E', 'C', 'E', 14, 'F', 'B', 'A']",75,-41
10,Run Time: 0.0056104660,"['D', 'E', 'C', 'E', 'C', 'E', 14, 'F', 'B', 'A']",75,-69
11,Run Time: 0.0057814121,"[2, 'A', 'B', 'F', 'H', 20, 'H', 'F', 14, 20, 'C']",79,-107
11,Run Time: 0.0050187111,"['D', 8, 'B', 'A', 4, 10, 16, 22, 'H', 20, 'C']",79,-28
11,Run Time: 0.0093159676,"['D', 'E', 'C', 'G', 'I', 26, 20, 14, 8, 'B', 'A']",79,-82
11,Run Time: 0.0064339638,"['D', 1, 2, 'A', 'B', 8, 'D', 1, 'D', 'E', 'C']",79,-108
11,Run Time: 0.0000000000,"['D', 1, 'D', 'E', 'C', 'E', 'D', 1, 2, 'A', 'B']",79,-79
