Customer Order,Path Size,Nodes Visited,Brute Force Score,Our Score
"['C', 'A', 'B']",18,"[2, 'A', 'B', 8, 'B', 'F', 16, 22, 23, 22, 16, 22, 28, 'J', 26, 32, 20, 'C']",-23,-6
"['I', 'B', 'D', 'G', 'C', 'F', 'H', 'E', 'A']",86,"['D', 'E', 'C', 'E', 14, 'F', 'H', 'J', 'H', 20, 14, 20, 'H', 'F', 'H', 'F', 'B', 'A', 4, 'P', 'M', 'K', 23, 'O', 'O', 29, 28, 34, 34, 29, 'N', 28, 34, 'J', 26, 'J', 'H', 20, 14, 20, 'H', 22, 23, 'O', 'O', 'K', 16, 'F', 'H', 20, 'H', 22, 16, 22, 28, 29, 'N', 28, 22, 16, 10, 'B', 'A', 2, 8, 14, 'E', 'D', 'E', 14, 20, 26, 'J', 33, 26, 'J', 28, 34, 22, 'H', 'J', 26, 'G', 'C', 'G', 'I']",1,-50
"['J', 'M', 'N', 'D', 'F', 'I', 'E', 'K', 'B', 'C', 'G', 'A', 'O', 'H']",118,"['D', 'E', 'C', 'E', 14, 'E', 'D', 'E', 'C', 'G', 'I', 'I', 'I', 'C', 'G', 'C', 'G', 'C', 20, 'C', 'G', 'C', 20, 'C', 'G', 'C', 'G', 'C', 'G', 'I', 'C', 'G', 26, 'J', 'H', 'F', 'B', 'A', 'B', 'F', 16, 'F', 'B', 'A', 2, 1, 2, 1, 'D', 1, 2, 8, 'D', 1, 'D', 8, 2, 'A', 2, 8, 'D', 'E', 'C', 20, 'C', 'G', 26, 'G', 'I', 'C', 20, 14, 20, 26, 32, 'J', 26, 'G', 'I', 'I', 'C', 'G', 'C', 20, 26, 'J', 28, 22, 28, 29, 'Q', 'N', 23, 'K', 'M', 'K', 16, 'F', 'H', 'J', 33, 28, 22, 28, 'J', 33, 33, 33, 'H', 20, 14, 8, 'B', 10, 'M', 'K', 23, 'O']",21,-62
"['H', 'K', 'J', 'F', 'D', 'G', 'I', 'B', 'E', 'A', 'C']",78,"['D', 'E', 'C', 'E', 'D', 'E', 'D', 1, 'D', 1, 'D', 8, 'B', 'A', 'B', 'A', 2, 1, 'D', 1, 2, 1, 2, 8, 'D', 8, 2, 1, 2, 8, 'B', 'F', 'B', 'F', 'H', 'F', 14, 'E', 14, 20, 'C', 'E', 14, 'E', 'C', 'E', 14, 20, 'C', 'G', 'I', 'I', 26, 'J', 33, 26, 32, 20, 'H', 'J', 'H', 22, 16, 'F', 14, 8, 'D', 'E', 'D', 8, 2, 1, 2, 8, 'B', 10, 16, 'K']",9,-34
"['A', 'B']",3,"[2, 'A', 'B']",-27,5
"['F', 'A', 'D', 'B', 'C', 'G', 'E']",11,"['D', 'E', 'C', 'G', 26, 32, 20, 14, 'F', 'B', 'A']",-7,17
"['A', 'C', 'B', 'J', 'H', 'I', 'F', 'G', 'E', 'D']",28,"['D', 'E', 'D', 'E', 'C', 'E', 'D', 1, 2, 'A', 'B', 'F', 'B', 8, 14, 20, 'C', 'E', 14, 20, 'C', 'E', 'C', 'G', 'I', 26, 'J', 'H']",5,12
"['H', 'I', 'A', 'E', 'F', 'G', 'B', 'D', 'C']",51,"['D', 'E', 'C', 'E', 'D', 8, 'D', 8, 'D', 'E', 'C', 'G', 'I', 'I', 'C', 20, 'C', 'E', 14, 'F', 'B', 'F', 'H', 'J', 'H', 'J', 28, 'J', 33, 28, 'J', 26, 32, 'J', 33, 28, 'J', 26, 'J', 'H', 'J', 33, 33, 'H', 'F', 14, 'E', 14, 'F', 'B', 'A']",1,-15
"['A', 'C', 'B', 'D', 'E']",11,"['D', 'E', 'C', 'G', 'C', 'E', 'D', 1, 2, 'A', 'B']",-15,9
"['D', 'F', 'A', 'C', 'B', 'E', 'G']",123,"['D', 'E', 'C', 'G', 'I', 26, 'J', 26, 20, 26, 'G', 'C', 20, 'C', 'E', 14, 'E', 'C', 20, 14, 'F', 'B', 'F', 'B', 'F', 16, 'F', 16, 'K', 18, 23, 'O', 22, 'H', 20, 'C', 'G', 'I', 'I', 'C', 20, 'H', 20, 'H', 'J', 'H', 22, 28, 29, 'N', 28, 22, 23, 29, 28, 'J', 'H', 'J', 26, 'G', 'I', 26, 32, 'G', 26, 32, 'J', 26, 32, 'G', 'I', 26, 'J', 33, 28, 34, 22, 'H', 20, 'C', 'G', 26, 'J', 33, 33, 26, 20, 'C', 20, 'H', 22, 'H', 'J', 26, 'G', 26, 'G', 'I', 'C', 20, 'H', 'F', 16, 'K', 16, 22, 16, 22, 'H', 22, 28, 'J', 28, 'J', 33, 26, 'J', 26, 'J', 'H', 'F', 'B', 'A']",-7,-95
