Customer Order,Path Size,Nodes Visited,Brute Force Score,Our Score
"['B', 'A', 'C']",8,"[7, 'E', 14, 'C', 14, 'B', 9, 'A']",47,4
"['A', 'B']",8,"[2, 'A', 14, 'A', 2, 'D', 9, 'B']",43,0
"['A', 'B']",8,"[7, 'E', 7, 'E', 7, 'A', 9, 'B']",43,0
"['A', 'B']",8,"[7, 'A', 9, 'D', 2, 'D', 9, 'B']",43,0
"['A', 'C', 'B']",10,"[2, 'A', 7, 1, 7, 'E', 19, 'C', 14, 'B']",47,2
"['A', 'B']",10,"[7, 'E', 7, 'A', 7, 1, 2, 'A', 9, 'B']",43,-2
"['C', 'B', 'A']",10,"[7, 'A', 14, 'B', 21, 'F', 26, 'F', 21, 'C']",47,2
"['A', 'B']",10,"[7, 'A', 7, 1, 7, 'A', 9, 'D', 9, 'B']",43,-2
['A'],10,"[2, 'D', 9, 'D', 9, 'D', 2, 'D', 9, 'A']",39,-6
"['B', 'A']",10,"[2, 'A', 14, 'A', 7, 'A', 14, 'C', 21, 'B']",43,-2
"['A', 'C', 'B']",10,"[7, 'E', 14, 'B', 14, 'E', 7, 'A', 14, 'C']",47,2
"['D', 'A', 'B', 'C']",10,"[7, 'A', 9, 'D', 9, 'B', 21, 'F', 21, 'C']",51,6
"['B', 'A']",10,"[2, 'D', 2, 'D', 9, 'B', 9, 'D', 2, 'A']",43,-2
"['B', 'A']",10,"[2, 'D', 9, 'D', 2, 'A', 9, 'D', 9, 'B']",43,-2
"['C', 'A', 'D', 'B']",10,"[2, 'D', 4, 'D', 9, 'A', 9, 'B', 14, 'C']",51,6
['A'],10,"[2, 'D', 4, 10, 9, 'D', 9, 'D', 2, 'A']",39,-6
"['B', 'C', 'A']",10,"[7, 'A', 2, 'A', 7, 'A', 14, 'C', 21, 'B']",47,2
"['A', 'B']",10,"[7, 'A', 7, 1, 7, 'A', 7, 'E', 14, 'B']",43,-2
"['A', 'D', 'B', 'C']",10,"[2, 'D', 9, 'A', 2, 'D', 9, 'B', 14, 'C']",51,6
"['B', 'A']",10,"[2, 'A', 9, 'D', 2, 'D', 4, 10, 16, 'B']",43,-2
"['A', 'B']",10,"[7, 'E', 14, 'C', 14, 'E', 14, 'B', 9, 'A']",43,-2
"['A', 'B']",10,"[2, 'A', 9, 'A', 14, 'E', 14, 'E', 14, 'B']",43,-2
['A'],11,"[2, 'D', 4, 5, 6, 4, 'D', 9, 'B', 9, 'A']",39,-7
"['A', 'C', 'B']",11,"[2, 'A', 14, 'E', 19, 'C', 26, 32, 'F', 21, 'B']",47,1
"['C', 'B', 'D', 'A']",12,"[2, 'D', 9, 'B', 9, 'A', 9, 'B', 16, 'B', 21, 'C']",51,4
"['B', 'D', 'A', 'C']",12,"[7, 'A', 2, 'D', 4, 5, 4, 10, 9, 'B', 21, 'C']",51,4
"['B', 'A']",12,"[7, 'A', 2, 1, 7, 'E', 7, 1, 2, 'A', 9, 'B']",43,-4
"['B', 'A']",12,"[2, 'D', 4, 'D', 9, 'A', 14, 'A', 14, 'C', 21, 'B']",43,-4
['A'],12,"[7, 'E', 19, 'E', 14, 'E', 19, 'E', 7, 'E', 7, 'A']",39,-8
"['A', 'B']",12,"[2, 'D', 9, 'B', 16, 'B', 14, 'E', 14, 'E', 14, 'A']",43,-4
